Category,Dx Code,Practice Code,PQRI.,Recall,SNOMED CT,Description
" 373.9"," 373.9"," 373.9"," "," "," "," INFLAMMATION EYELID NOS"
" 373.9"," 12"," 121"," 1"," "," "," 1"
" Anerior Segment"," 232.3"," 232.3"," "," "," "," Carcinoma in other unspecified parts of face"
" Anerior Segment"," 364.75"," 364.75"," "," "," "," Pupillary abnormalities"
" Anerior Segment"," 366.8"," 366.8"," "," "," "," Other cataract"
" Anerior Segment"," 371.20"," 371.20"," "," "," "," Corneal edema, unspecified"
" Anerior Segment"," 364.71"," 364.71"," "," "," "," posterior synachiae"
" Anerior Segment"," 378.00"," 378.00"," "," "," "," esotropia, unspecified"
" Anerior Segment"," 878.8"," 878.8"," "," "," "," EXCHANGE OF INTRAOCULAR LENS"
" Anerior Segment"," E878.8"," E878.8"," "," "," "," EXCHANGE OF LENS"
" Anerior Segment"," 379.56"," 379.56"," "," "," "," other forms of nystagmus"
" Anerior Segment"," 781.92"," 781.92"," "," "," "," Abnormal posture"
" Anerior Segment"," 374.30"," 374.30"," "," "," "," Ptosis of eyelid, unspecified  Ptosis of eyelid, unspecified  "
" Anerior Segment"," 190.3"," 190.3"," "," "," "," neoplasm removal conjunctival papilloma"
" Anerior Segment"," 871.9"," 871.9"," "," "," "," wound of globe"
" Anerior Segment"," 743.61"," 743.61"," "," "," 268163008"," congenital ptosis"
" Anerior Segment"," 239.2"," 239.2"," "," "," "," neoplasm unspecified"
" Anerior Segment"," 261.1"," 261.1"," "," "," "," neoplasm benign lesion"
" Anerior Segment"," 871.4"," 871.4"," "," "," "," Conjunctival Laceration"
" Anerior Segment"," 871.4"," 871.4"," "," "," "," Conjunctival Laceration"
" Anerior Segment"," 379.32"," 379.32"," "," "," 65814009"," Subluxation of lens"
" Anerior Segment"," 366.19"," 366.19"," "," "," "," Other and combined forms of senile cataract   "
" Anerior Segment"," E8789"," E878.9"," "," "," "," the time of operation, unspecified surgical operations and procedures"
" ant"," 238.8"," 238.8"," "," "," "," Neoplasm of uncertain behavior"
" Anterior Segment"," 366.15"," 366.15"," "," "," "," Cataract, Cortical Senile"
" Anterior Segment"," 366.16"," 366.16"," "," "," "," Nuclear Sclerosis Cataract"
" Anterior Segment"," 366.17"," 366.17"," "," "," "," Cataract, Mature "
" Anterior Segment"," 366.14"," 366.14"," "," "," "," Cataract, Post Subcapsular"
" Anterior Segment"," 375.15"," 375.15"," "," "," 1249004"," Dry Eye"
" Anterior Segment"," 364.01"," 364.01"," "," "," "," Iritis, Acute"
" Anterior Segment"," 364.73"," 364.73"," "," "," "," Peripheral Anterior Synechia"
" Anterior Segment"," 364.53"," 364.53"," "," "," "," Pigment Displasia Syndrome"
" Anterior Segment"," 366.11"," 366.11"," "," "," 44219007"," Pseudoexfoliation of Lens Capsule"
" Anterior Segment"," 379.39"," 379.39"," "," "," "," aphakia other disorders of lens"
" Anterior Segment"," 366.50"," 366.50"," "," "," "," Secondary Cataract NOS"
" Anterior Segment"," 366.53"," 366.53"," "," "," "," Opacification of the Posterior Capsule"
" Anterior Segment"," 364.41"," 364.41"," "," "," 75229002"," Hyphema"
" Anterior Segment"," 996.53"," 996.53"," "," "," "," Dislocated/Malfunctioning IOL"
" Anterior Segment"," 377.01"," 377.01"," "," "," "," Papilledema associated w/increased intracranial pressure"
" Anterior Segment"," 224.0"," 224.0"," "," "," "," Iris Nevus"
" Anterior Segment"," 379.26"," 379.26"," "," "," 3044008"," Vitreous prolapse"
" Anterior Segment"," 364.81"," 364.81"," "," "," "," Floppy Iris"
" Anterior Segment"," 743.46"," 743.46"," "," "," "," Pupillary membrane"
" Anterior Segment"," 743.46"," 743.46"," "," "," "," Pupilary Atresia"
" Anterior Segment"," 379.25"," 379.25"," "," "," "," Vitreous membranes and strands"
" Anterior Segment"," 366.01"," 366.01"," "," "," "," Cataract, anterior subcapsular"
" Anterior Segment"," 364.02"," 364.02"," "," "," "," Iritis, Recurrent"
" Anterior Segment"," 364.10"," 364.10"," "," "," "," Iritis, Chronic"
" Anterior Segment"," 364.04"," 364.04"," "," "," "," Iritis, Secondary"
" Anterior Segment"," 364.3"," 364.3"," "," "," "," Uveitis, Anterior"
" Anterior Segment"," 360.12"," 360.12"," "," "," "," Uveitis, Panuveitis"
" Anterior Segment"," 363.20"," 363.20"," "," "," "," Uveitis, Posterior"
" Anterior Segment"," 054.44"," 054.44"," "," "," 13608004"," Herpes Simplex Iridocyclitis"
" Anterior Segment"," 379.41"," 379.41"," "," "," 13045009"," Anisocoria"
" Anterior Segment"," 364.05"," 364.05"," "," "," 87807004"," Hypopyon"
" Anterior Segment"," 364.53"," 364.53"," "," "," "," Pigmentary Dispersion Syndrome"
" Anterior Segment"," 379.31"," 379.31"," "," "," 24010005"," Aphakia"
" Anterior Segment"," 366.16"," 366.16"," "," "," "," Cataract, Nuclear Sclerotic"
" Anterior Segment"," 743.30"," 743.30"," "," "," "," Cataract, Congenital"
" Anterior Segment"," 360.01"," 360.01"," "," "," "," Endophthalmitis, Acute"
" Anterior Segment"," 364.60"," 364.60"," "," "," "," Cyst of Iris/ciliary body"
" Anterior Segment"," 366.22"," 366.22"," "," "," 8656007"," Total Traumatic Cataract"
" Anterior Segment"," 366.20"," 366.20"," "," "," "," Traumatic cataract, unspecified"
" Anterior Segment"," 366.21"," 366.21"," "," "," "," Localized traumatic opacities"
" Anterior Segment"," 743.32"," 743.32"," "," "," "," Cataract, Cortical"
" Anterior Segment"," 361.02"," 361.02"," "," "," "," Recent retinal detach partial with multiple defects "
" Anterior Segment"," 374.84"," 374.84"," "," "," "," Cysts of eyelids"
" Anterior Segment"," 371.70"," 371.70"," "," "," "," Cornea Deformity unspecified"
" Anterior Segment"," 371.9"," 371.9"," "," "," "," Unspecified cornea disorder"
" Anterior Segment"," 365.20"," 365.20"," "," "," "," Primary anfle-closure glaucoma, unspecified"
" Anterior Segment"," 998.32"," 998.32"," "," "," 225553008"," Wound Dehiscence"
" Anterior Segment"," 996.53"," 996.53"," "," "," "," lens prosthesis malfunction "
" Anterior Segment"," 998.4"," 998.4"," "," "," "," debri left from previous procedure unspecified"
" Anterior Segment"," 378.01"," 378.01"," "," "," "," ET"
" BSC"," 366.53"," 366.53"," "," "," "," AFTR-CATAR OBSCUR VISION"
" BSC"," 366.15"," 366.15"," "," "," 78875003"," CORTICAL SENILE CATARACT"
" BSC"," 998.82"," 998.82"," "," "," "," CTRCT FRGMT FRM CTR SURG"
" BSC"," 374.00"," 374.00"," "," "," "," ENTROPION NOS"
" BSC"," 366.18"," 366.18"," "," "," 267626000"," HYPERMATURE CATARACT"
" BSC"," 366.12"," 366.12"," "," "," 52421005"," INCIPIENT CATARACT"
" BSC"," 366.17"," 366.17"," "," "," 849000"," MATURE CATARACT"
" BSC"," 367.1"," 367.1"," "," "," 57190000"," MYOPIA"
" BSC"," 364.89"," 364.89"," "," "," "," Other Disorders Of Iris And Ciliary Body"
" BSC"," 366.14"," 366.14"," "," "," "," POST SUBCAP SENILE CATAR"
" BSC"," 367.4"," 367.4"," "," "," 41256004"," PRESBYOPIA"
" BSC"," 362.02"," 362.02"," 2021F, 5010F, G8397, 2022F, 2024F, 2026F"," "," 59276001"," Proliferative Diabetic Retinopathy"
" BSC"," 367.21"," 367.21"," "," "," 68905002"," REGULAR ASTIGMATISM"
" BSC"," 362.84"," 362.84"," "," "," 26468004"," RETINAL ISCHEMIA"
" BSC"," 362.30"," 362.30"," "," "," "," RETINAL VASC OCCLUS NOS"
" BSC"," 366.16"," 366.16"," "," "," "," SENILE NUCLEAR CATARACT"
" BSC"," 379.23"," 379.23"," "," "," 31341008"," VITREOUS HEMORRHAGE"
" BSC"," 366.8"," 366.8"," "," "," "," Other cataract, calcification of lens"
" BSC"," 371.20"," 371.20"," "," "," "," Corneal edema, unspecified"
" BSC"," 781.0"," 781.0"," "," "," "," Abnormal involuntary movements   "
" BSC"," 378.32"," 378.32"," "," "," 29491004"," Hypotropia  "
" BSC"," 216.3"," 216.3"," "," "," "," Benign neoplasm of skin; skin of other and unspecified parts of face"
" BSC"," 996.69"," 996.69"," "," "," "," Complications peculiar to certain specified procedures; infection and inflammatory reaction due to internal prosthetic device, implant, and graft; due to other internal prosthetic device, implant, and graft   "
" BSC"," 379.8"," 379.8"," "," "," "," Other specified disorders of eye and adnexa  "
" BSC"," V45.61"," V45.61"," "," "," "," Other postsurgical states; states following surgery of eye and adnexa; cataract extraction status   "
" BSC"," 706.2"," 706.2"," "," "," "," Sebaceous cyst  "
" BSC"," 374.89"," 374.89"," "," "," "," Other disorders of eyelid  "
" BSC"," V58.32"," V58.32"," "," "," "," Encounter for other and unspecified procedures and aftercare; attention to dressings and sutures; encounter for removal of sutures"
" BSC"," 366.9"," 366.9"," "," "," "," Unspecified cataract  "
" BSC"," E876.8"," E876.8"," "," "," "," Other and unspecified misadventures during medical care; other specified misadventures during medical care  "
" BSC"," 224.4"," 224.4"," "," "," "," Benign neoplasm of eye; cornea  "
" BSC"," 375.89"," 375.89"," "," "," "," Other disorders of lacrimal system   "
" BSC"," 371.60"," 371.60"," "," "," "," Keratoconus, unspecified  "
" BSC"," 372.45"," 372.45"," "," "," 73181007"," Recurrent pterygium  "
" BSC"," 378.17"," 378.17"," "," "," 57805002"," Alternating exotropia with V pattern   "
" BSC"," 365.9"," 365.9"," "," "," "," Unspecified glaucoma   "
" BSC"," e878.9"," e878.9"," "," "," "," Surgical operation and other surgical procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation; unspecified surgical operations and procedures  "
" BSC"," e914"," e914"," "," "," "," Foreign body accidentally entering eye and adnexa  "
" BSC"," 375.9"," 375.9"," "," "," "," Unspecified disorder of lacrimal system"
" BSC"," 378.30"," 378.30"," "," "," "," Heterotropia, unspecified   "
" BSC"," 378.33"," 378.33"," "," "," 70486007"," Cyclotropia  "
" BSC"," 272.2"," 272.2"," "," "," "," Accidental cut, puncture, perforation, or hemorrhage during medical care; other specified medical care  Mixed hyperlipidemia"
" BSC"," E870.8"," E870.8"," "," "," "," Accidental cut, puncture, perforation, or hemorrhage during medical care; other specified medical care  "
" BSC"," 173.21"," 173.21"," "," "," "," Basal Cell Carcinoma of skin of ear and external auditory canal"
" BSC"," 365.59"," 365.59"," "," "," "," Glaucoma associated with other lens disorders"
" BSC"," 378.73"," 378.73"," "," "," "," Strabismus in other neuromuscular disorders  Strabismus in other neuromuscular disorders  "
" BSC"," 364.72 "," 364.72 "," "," "," "," Anterior synechiae of iris  "
" BSC"," V45.89"," V45.89"," "," "," "," Other postprocedural status   "
" BSC"," 372.64"," 372.64"," "," "," "," Scarring of conjunctiva"
" BSC"," 372.61"," 372.61"," "," "," 90715009"," Granuloma of conjunctiva   "
" BSC"," 743.9"," 743.9"," "," "," "," Unspecified anomaly of eye   "
" BSC"," E878.1"," E878.1"," "," "," "," Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation  "
" Conjunctival"," 372.00"," 372.00"," "," "," 53726008"," Acute Conjunctivitis"
" Conjunctival"," 372.05"," 372.05"," "," "," "," Allergic Conjunctivitis"
" Conjunctival"," 372.20"," 372.20"," "," "," "," Blepharoconjunctivits NOS"
" Conjunctival"," 918.2"," 918.2"," "," "," "," Conjunctival Abrasion"
" Conjunctival"," 930.1"," 930.1"," "," "," 231866000"," Conjunctival Foreign Body"
" Conjunctival"," 372.51"," 372.51"," "," "," 87614000"," Pinguecula"
" Conjunctival"," 372.40"," 372.40"," "," "," "," Ptergium"
" Conjunctival"," 372.72"," 372.72"," "," "," 21117005"," Conjunctival Hemorrhage"
" Conjunctival"," 372.14"," 372.14"," "," "," 231857004"," Giant Papillary Conjunctivitis"
" Conjunctival"," 372.75"," 372.75"," "," "," 193901000"," Conjunctival cyst"
" Conjunctival"," 379.01"," 379.01"," "," "," 815008"," Episcleritis"
" Conjunctival"," 371.82"," 371.82"," "," "," "," Contact Lens Keratitis"
" Conjunctival"," 379.93"," 379.93"," "," "," "," Redness of Eye"
" Conjunctival"," 372.71"," 372.71"," "," "," 193894004"," Conjunctival hyperemia"
" Conjunctival"," 224.3"," 224.3"," "," "," "," Conjunctival Papiloma"
" Conjunctival"," 224.3"," 224.3"," "," "," "," Conjunctival nevus"
" Conjunctival"," 372.54"," 372.54"," "," "," "," Concretion"
" Conjunctival"," 370.31"," 370.31"," "," "," 67895005"," Phlyctenular keratoconjunctivitis"
" Conjunctival"," 372.01"," 372.01"," "," "," "," Chemical conjunctivitis"
" Conjunctival"," 376.11"," 376.11"," "," "," "," Orbital pseudotumor"
" Conjunctival"," 372.41"," 372.41"," "," "," "," Pterygium, Stable"
" Conjunctival"," 372.03"," 372.03"," "," "," "," Conjunctivitis, Bacterial"
" Conjunctival"," 372.02"," 372.02"," "," "," "," Conjunctivitis, Follicular"
" Conjunctival"," 077.3"," 077.3"," "," "," "," Conjunctivitis, Adenoviral"
" Conjunctival"," 077.1"," 077.1"," "," "," "," Conjunctivitis, EKC"
" Conjunctival"," 372.14"," 372.14"," "," "," "," Conjunctivitis, Chronic Allergic"
" Conjunctival"," 930.1"," 930.1 "," "," "," "," Foreign Body, Conjunctival"
" Conjunctival"," 372.42"," 372.42"," "," "," "," Pterygium, Progressive"
" Conjunctival"," 372.75"," 372.75"," "," "," "," Cyst of Conjunctiva"
" Conjunctival"," 372.81"," 372.81"," "," "," 408663001"," conjunctivochalasis "
" Conjunctival"," 372.9"," 372.9"," "," "," "," Conjunctival Lesion"
" Conjunctival"," 372.55"," 372.55"," "," "," "," Conjunctival Pigmentations"
" Cornea"," 371.50"," 371.50"," "," "," "," Anterior Membrane Dystrof"
" Cornea"," 371.57"," 371.57"," "," "," "," Corneal Guttata"
" Cornea"," 918.1"," 918.1"," "," "," 85848002"," Corneal Abrasion"
" Cornea"," 930.0"," 930.0"," "," "," 37450000"," Corneal Foreign Body"
" Cornea"," 371.20"," 371.20"," "," "," "," Corneal Edema NOS"
" Cornea"," 371.03"," 371.03"," "," "," "," Corneal Scar, Central"
" Cornea"," 053.20"," 053.20"," "," "," "," Herpes Zoster Ophthalmic"
" Cornea"," 054.40"," 054.40"," "," "," "," Herpes Simplex Eye NOS"
" Cornea"," 370.20"," 370.20"," "," "," 27019000"," Superficial Keratitis"
