ID,Medicine,Ocular,Glaucoma,"Ret Inj",Alias,Description,"Rx Req",Alert,"RxNorm Code","FDB Id"
6187,1,0,0,0,,,0,0,,
6186,"10,635",0,0,0,,,0,0,,
335,a,0,0,0,,,0,0,,
343,Aaaaaa,1,0,0,,,0,0,,
345,"Abdul Karim",0,0,1,,,0,0,,
346,Abdul-shabazz,0,0,0,,,0,0,,
347,Abe,0,0,0,,,0,0,,
348,Abejdid,0,0,0,,,0,0,,
349,Abel,0,0,1,,,0,0,,
350,Abelardo,0,0,0,,,0,0,,
351,Abeles,0,0,0,,,0,0,,
352,Abellonar,0,0,0,,,0,0,,
353,Abenoja,0,0,0,,,0,0,,
354,Abernathy,0,0,0,,,0,0,,
1,Abilify,0,0,0,,,0,1,352393,
355,Abner,0,0,0,,,0,0,,
356,Abon,0,0,0,,,0,0,,
357,Abrams,0,0,0,,,0,0,,
358,Abreu,0,0,0,,,0,0,,
359,Abriel,0,0,0,,,0,0,,
360,Absolor,0,0,0,,,0,0,,
361,Abukhalil,0,0,0,,,0,0,,
362,Acacio,0,0,0,,,0,0,,
363,Acatitlan,0,0,0,,,0,0,,
2,Accutane,0,0,0,,,0,0,,
364,Acedo,0,0,0,,,0,0,,
365,Acereto,0,0,0,,,0,0,,
366,Acevedo,0,0,0,,,0,0,,
367,"Acevedo Magana",0,0,0,,,0,0,,
368,Aceves,0,0,0,,,0,0,,
369,Ackerman,0,0,0,,,0,0,,
370,Acosta,0,0,0,,,0,0,,
3,Actiq,0,0,0,,,0,0,215008,
4,Actonel,0,0,0,,,0,0,753143,
218,Actos,0,0,0,,,0,0,261442,
371,Acu,0,0,0,,,0,0,,
158,Acular,1,0,0,,,1,0,152819,
372,Acuna,0,0,0,,,0,0,,
159,Acuvail,0,0,0,,,0,0,858359,
243,Adalat,0,0,0,,,0,0,151131,
373,Adamo,0,0,0,,,0,0,,
374,Adams,0,0,0,,,0,0,,
5,Adderall,0,0,0,,,0,0,84815,
375,Adelman,0,0,0,,,0,0,,
6,Adipex,0,0,0,,,0,0,,
376,Adkison,0,0,0,,,0,0,,
377,Adkisson,0,0,0,,,0,0,,
378,Adolph,0,0,0,,,0,0,,
7,Advair,0,0,0,,,0,0,301543,
379,Agarwal,0,0,0,,,0,0,,
380,Agbayani,0,0,0,,,0,0,,
381,Aggarwal,0,0,0,,,0,0,,
251,Aggrenox,0,0,0,,,0,0,226718,
382,Agras,0,0,0,,,0,0,,
383,Agrawal,0,0,0,,,0,0,,
384,Agregado,0,0,0,,,0,0,,
385,Agren,0,0,0,,,0,0,,
386,Agresor,0,0,0,,,0,0,,
387,Agriam,0,0,0,,,0,0,,
388,Agtang,0,0,0,,,0,0,,
389,Aguado,0,0,0,,,0,0,,
390,"Aguayo De Kelly",0,0,0,,,0,0,,
391,Aguero,0,0,0,,,0,0,,
392,Aguerrebere,0,0,0,,,0,0,,
393,Aguilar,0,0,0,,,0,0,,
394,Aguilera,0,0,0,,,0,0,,
395,Aguirre,0,0,0,,,0,0,,
396,"Aguirre Arriaga",0,0,0,,,0,0,,
397,Aguliar,0,0,0,,,0,0,,
