Type,Code,Description,Injury,Injury Dx
D,J95859 ,Other complication of respirator [ventilator]               , ,Y
D,N99522 ,Malfunction of other external stoma of urinary tract        , ,Y
D,N99528 ,Other complication of other external stoma of urinary tract , ,Y
D,N99530 ,Hemorrhage of other stoma of urinary tract                  , ,Y
D,N99531 ,Infection of other stoma of urinary tract                   , ,Y
D,N99532 ,Malfunction of other stoma of urinary tract                 , ,Y
D,N99538 ,Other complication of other stoma of urinary tract          , ,Y
D,S0000XA,"Unspecified superficial injury of scalp, initial encounter  ", ,Y
D,S0001XA,"Abrasion of scalp, initial encounter                        ", ,Y
D,S0002XA,"Blister (nonthermal) of scalp, initial encounter            ", ,Y
D,S0003XA,"Contusion of scalp, initial encounter                       ", ,Y
D,S0004XA,"External constriction of part of scalp, initial encounter   ", ,Y
D,S0005XA,"Superficial foreign body of scalp, initial encounter        ", ,Y
D,S0006XA,"Insect bite (nonvenomous) of scalp, initial encounter       ", ,Y
D,S0007XA,"Other superficial bite of scalp, initial encounter          ", ,Y
D,S0010XA,"Contusion of unsp eyelid and periocular area, init encntr   ", ,Y
D,S0011XA,"Contusion of right eyelid and periocular area, init encntr  ", ,Y
D,S0012XA,"Contusion of left eyelid and periocular area, init encntr   ", ,Y
D,S00201A,"Unsp superfic inj right eyelid and perioculr area, init     ", ,Y
D,S00202A,"Unsp superfic injury of left eyelid and perioculr area, init", ,Y
D,S00209A,"Unsp superfic injury of unsp eyelid and perioculr area, init", ,Y
D,S00211A,"Abrasion of right eyelid and periocular area, init encntr   ", ,Y
D,S00212A,"Abrasion of left eyelid and periocular area, init encntr    ", ,Y
D,S00219A,"Abrasion of unsp eyelid and periocular area, init encntr    ", ,Y
D,S00221A,"Blister of right eyelid and periocular area, init           ", ,Y
D,S00222A,"Blister of left eyelid and periocular area, init            ", ,Y
D,S00229A,"Blister of unsp eyelid and periocular area, init            ", ,Y
D,S00241A,"External constrict of right eyelid and periocular area, init", ,Y
D,S00242A,"External constrict of left eyelid and periocular area, init ", ,Y
D,S00249A,"External constrict of unsp eyelid and periocular area, init ", ,Y
D,S00251A,"Superficial fb of right eyelid and periocular area, init    ", ,Y
D,S00252A,"Superficial fb of left eyelid and periocular area, init     ", ,Y
D,S00259A,"Superficial fb of unsp eyelid and periocular area, init     ", ,Y
D,S00261A,"Insect bite of right eyelid and periocular area, init       ", ,Y
D,S00262A,"Insect bite of left eyelid and periocular area, init        ", ,Y
D,S00269A,"Insect bite of unsp eyelid and periocular area, init        ", ,Y
D,S00271A,"Oth superfic bite of right eyelid and periocular area, init ", ,Y
D,S00272A,"Oth superfic bite of left eyelid and periocular area, init  ", ,Y
D,S00279A,"Oth superfic bite of unsp eyelid and periocular area, init  ", ,Y
D,S0030XA,"Unspecified superficial injury of nose, initial encounter   ", ,Y
D,S0031XA,"Abrasion of nose, initial encounter                         ", ,Y
D,S0032XA,"Blister (nonthermal) of nose, initial encounter             ", ,Y
D,S0033XA,"Contusion of nose, initial encounter                        ", ,Y
D,S0034XA,"External constriction of nose, initial encounter            ", ,Y
D,S0035XA,"Superficial foreign body of nose, initial encounter         ", ,Y
D,S0036XA,"Insect bite (nonvenomous) of nose, initial encounter        ", ,Y
D,S0037XA,"Other superficial bite of nose, initial encounter           ", ,Y
D,S00401A,"Unspecified superficial injury of right ear, init encntr    ", ,Y
D,S00402A,"Unspecified superficial injury of left ear, init encntr     ", ,Y
D,S00409A,"Unsp superficial injury of unspecified ear, init encntr     ", ,Y
D,S00411A,"Abrasion of right ear, initial encounter                    ", ,Y
D,S00412A,"Abrasion of left ear, initial encounter                     ", ,Y
D,S00419A,"Abrasion of unspecified ear, initial encounter              ", ,Y
