Type,Code,Description,Injury,Injury Dx
D,V0001XD,"Ped on foot injured in collision w roller-skater, subs      ",C, 
D,V0001XS,"Ped on foot injured in collision w roller-skater, sequela   ",C, 
D,V0002XD,"Pedestrian on foot injured in collision w skateboarder, subs",C, 
D,V0002XS,"Ped on foot injured in collision w skateboarder, sequela    ",C, 
D,V0009XD,"Ped on foot injured in collision w oth ped convey, subs     ",C, 
D,V0009XS,"Ped on foot injured in collision w oth ped convey, sequela  ",C, 
D,V00111D,"Fall from in-line roller-skates, subsequent encounter       ",C, 
D,V00111S,"Fall from in-line roller-skates, sequela                    ",C, 
D,V00112D,"In-line roller-skater colliding w stationary object, subs   ",C, 
D,V00112S,"In-line roller-skater colliding w stationary object, sequela",C, 
D,V00118D,"Other in-line roller-skate accident, subsequent encounter   ",C, 
D,V00118S,"Other in-line roller-skate accident, sequela                ",C, 
D,V00121D,"Fall from non-in-line roller-skates, subsequent encounter   ",C, 
D,V00121S,"Fall from non-in-line roller-skates, sequela                ",C, 
D,V00122D,"Non-in-line roller-skater colliding w statnry obj, subs     ",C, 
D,V00122S,"Non-in-line roller-skater colliding w statnry obj, sequela  ",C, 
D,V00128D,"Other non-in-line roller-skating accident, subs encntr      ",C, 
D,V00128S,"Other non-in-line roller-skating accident, sequela          ",C, 
D,V00131D,"Fall from skateboard, subsequent encounter                  ",C, 
D,V00131S,"Fall from skateboard, sequela                               ",C, 
D,V00132D,"Skateboarder colliding with stationary object, subs encntr  ",C, 
D,V00132S,"Skateboarder colliding with stationary object, sequela      ",C, 
D,V00138D,"Other skateboard accident, subsequent encounter             ",C, 
D,V00138S,"Other skateboard accident, sequela                          ",C, 
D,V00141D,"Fall from scooter (nonmotorized), subsequent encounter      ",C, 
D,V00141S,"Fall from scooter (nonmotorized), sequela                   ",C, 
D,V00142D,"Scooter (nonmotorized) colliding w stationary object, subs  ",C, 
D,V00142S,"Scooter (nonmotorized) colliding w statnry obj, sequela     ",C, 
D,V00148D,"Other scooter (nonmotorized) accident, subsequent encounter ",C, 
D,V00148S,"Other scooter (nonmotorized) accident, sequela              ",C, 
D,V00151D,"Fall from heelies, subsequent encounter                     ",C, 
D,V00151S,"Fall from heelies, sequela                                  ",C, 
D,V00152D,"Heelies colliding with stationary object, subs encntr       ",C, 
D,V00152S,"Heelies colliding with stationary object, sequela           ",C, 
D,V00158D,"Other heelies accident, subsequent encounter                ",C, 
D,V00158S,"Other heelies accident, sequela                             ",C, 
D,V00181D,"Fall from oth rolling-type pedestrian conveyance, subs      ",C, 
D,V00181S,"Fall from other rolling-type pedestrian conveyance, sequela ",C, 
D,V00182D,"Ped on oth roll-type ped convey collid w statnry obj, subs  ",C, 
D,V00182S,"Ped on oth roll-type ped convey collid w statnry obj, sqla  ",C, 
D,V00188D,"Oth accident on oth rolling-type pedestrian conveyance, subs",C, 
D,V00188S,"Oth accident on oth roll-type pedestrian conveyance, sequela",C, 
D,V00211D,"Fall from ice-skates, subsequent encounter                  ",C, 
D,V00211S,"Fall from ice-skates, sequela                               ",C, 
D,V00212D,"Ice-skater colliding with stationary object, subs encntr    ",C, 
D,V00212S,"Ice-skater colliding with stationary object, sequela        ",C, 
D,V00218D,"Other ice-skates accident, subsequent encounter             ",C, 
D,V00218S,"Other ice-skates accident, sequela                          ",C, 
D,V00221D,"Fall from sled, subsequent encounter                        ",C, 
D,V00221S,"Fall from sled, sequela                                     ",C, 
D,V00222D,"Sledder colliding with stationary object, subs encntr       ",C, 
D,V00222S,"Sledder colliding with stationary object, sequela           ",C, 
D,V00228D,"Other sled accident, subsequent encounter                   ",C, 
D,V00228S,"Other sled accident, sequela                                ",C, 
D,V00281D,"Fall from gliding-type pedestrian conveyance, subs encntr   ",C, 
D,V00281S,"Fall from other gliding-type pedestrian conveyance, sequela ",C, 
D,V00282D,"Ped on gliding-type ped convey colliding w statnry obj, subs",C, 
D,V00282S,"Ped on gliding-type ped convey collid w statnry obj, sequela",C, 
D,V00288D,"Oth accident on gliding-type pedestrian conveyance, subs    ",C, 
D,V00288S,"Oth accident on gliding-type pedestrian conveyance, sequela ",C, 
D,V00311D,"Fall from snowboard, subsequent encounter                   ",C, 
D,V00311S,"Fall from snowboard, sequela                                ",C, 
D,V00312D,"Snowboarder colliding with stationary object, subs encntr   ",C, 
D,V00312S,"Snowboarder colliding with stationary object, sequela       ",C, 
D,V00318D,"Other snowboard accident, subsequent encounter              ",C, 
D,V00318S,"Other snowboard accident, sequela                           ",C, 
D,V00321D,"Fall from snow-skis, subsequent encounter                   ",C, 
D,V00321S,"Fall from snow-skis, sequela                                ",C, 
D,V00322D,"Snow-skier colliding with stationary object, subs encntr    ",C, 
D,V00322S,"Snow-skier colliding with stationary object, sequela        ",C, 
D,V00328D,"Other snow-ski accident, subsequent encounter               ",C, 
D,V00328S,"Other snow-ski accident, sequela                            ",C, 
D,V00381D,"Fall from flat-bottomed pedestrian conveyance, subs encntr  ",C, 
D,V00381S,"Fall from other flat-bottomed pedestrian conveyance, sequela",C, 
D,V00382D,"Ped on flat-bottomed ped convey collid w statnry obj, subs  ",C, 
D,V00382S,"Ped on flat-bottomed ped convey collid w statnry obj, sqla  ",C, 
D,V00388D,"Oth accident on flat-bottomed pedestrian conveyance, subs   ",C, 
D,V00388S,"Oth accident on flat-bottomed pedestrian conveyance, sequela",C, 
D,V00811D,"Fall from moving wheelchair (powered), subsequent encounter ",C, 
D,V00811S,"Fall from moving wheelchair (powered), sequela              ",C, 
D,V00812D,"Wheelchair (powered) colliding w stationary object, subs    ",C, 
D,V00812S,"Wheelchair (powered) colliding w stationary object, sequela ",C, 
D,V00818D,"Other accident with wheelchair (powered), subs encntr       ",C, 
D,V00818S,"Other accident with wheelchair (powered), sequela           ",C, 
D,V00821D,"Fall from babystroller, subsequent encounter                ",C, 
D,V00821S,"Fall from babystroller, sequela                             ",C, 
D,V00822D,"Babystroller colliding with stationary object, subs encntr  ",C, 
D,V00822S,"Babystroller colliding with stationary object, sequela      ",C, 
D,V00828D,"Other accident with babystroller, subsequent encounter      ",C, 
D,V00828S,"Other accident with babystroller, sequela                   ",C, 
D,V00831D,"Fall from motorized mobility scooter, subsequent encounter  ",C, 
D,V00831S,"Fall from motorized mobility scooter, sequela               ",C, 
D,V00832D,"Motorized mobility scooter colliding w statnry obj, subs    ",C, 
D,V00832S,"Motorized mobility scooter colliding w statnry obj, sequela ",C, 
D,V00838D,"Other accident with motorized mobility scooter, subs encntr ",C, 
D,V00838S,"Other accident with motorized mobility scooter, sequela     ",C, 
D,V00891D,"Fall from other pedestrian conveyance, subsequent encounter ",C, 
D,V00891S,"Fall from other pedestrian conveyance, sequela              ",C, 
D,V00892D,"Ped on oth pedestrian convey colliding w statnry obj, subs  ",C, 
D,V00892S,"Ped on oth ped convey colliding w statnry obj, sequela      ",C, 
D,V00898D,"Other accident on other pedestrian conveyance, subs encntr  ",C, 
D,V00898S,"Other accident on other pedestrian conveyance, sequela      ",C, 
D,V0100XD,"Ped on foot injured in collision w pedl cyc nontraf, subs   ",C, 
D,V0100XS,"Ped on foot injured in collision w pedl cyc nontraf, sequela",C, 
D,V0101XD,"Ped on rolr-skt injured in clsn w pedl cyc nontraf, subs    ",C, 
D,V0101XS,"Ped on rolr-skt injured in clsn w pedl cyc nontraf, sequela ",C, 
D,V0102XD,"Ped on sktbrd injured in collision w pedl cyc nontraf, subs ",C, 
D,V0102XS,"Ped on sktbrd injured in clsn w pedl cyc nontraf, sequela   ",C, 
D,V0109XD,"Ped w convey injured in collision w pedl cyc nontraf, subs  ",C, 
D,V0109XS,"Ped w convey injured in clsn w pedl cyc nontraf, sequela    ",C, 
D,V0110XD,"Ped on foot injured in collision w pedl cyc in traf, subs   ",C, 
D,V0110XS,"Ped on foot injured in collision w pedl cyc in traf, sequela",C, 
D,V0111XD,"Ped on rolr-skt injured in clsn w pedl cyc in traf, subs    ",C, 
D,V0111XS,"Ped on rolr-skt injured in clsn w pedl cyc in traf, sequela ",C, 
D,V0112XD,"Ped on sktbrd injured in collision w pedl cyc in traf, subs ",C, 
