Type,Code,Description,Injury,Injury Dx
D,V0001XA,"Ped on foot injured in collision w roller-skater, init      ",R, 
D,V0002XA,"Pedestrian on foot injured in collision w skateboarder, init",R, 
D,V0009XA,"Ped on foot injured in collision w oth ped convey, init     ",R, 
D,V00111A,"Fall from in-line roller-skates, initial encounter          ",R, 
D,V00112A,"In-line roller-skater colliding w stationary object, init   ",R, 
D,V00118A,"Other in-line roller-skate accident, initial encounter      ",R, 
D,V00121A,"Fall from non-in-line roller-skates, initial encounter      ",R, 
D,V00122A,"Non-in-line roller-skater colliding w statnry obj, init     ",R, 
D,V00128A,"Other non-in-line roller-skating accident, initial encounter",R, 
D,V00131A,"Fall from skateboard, initial encounter                     ",R, 
D,V00132A,"Skateboarder colliding with stationary object, init encntr  ",R, 
D,V00138A,"Other skateboard accident, initial encounter                ",R, 
D,V00141A,"Fall from scooter (nonmotorized), initial encounter         ",R, 
D,V00142A,"Scooter (nonmotorized) colliding w stationary object, init  ",R, 
D,V00148A,"Other scooter (nonmotorized) accident, initial encounter    ",R, 
D,V00151A,"Fall from heelies, initial encounter                        ",R, 
D,V00152A,"Heelies colliding with stationary object, initial encounter ",R, 
D,V00158A,"Other heelies accident, initial encounter                   ",R, 
D,V00181A,"Fall from oth rolling-type pedestrian conveyance, init      ",R, 
D,V00182A,"Ped on oth roll-type ped convey collid w statnry obj, init  ",R, 
D,V00188A,"Oth accident on oth rolling-type pedestrian conveyance, init",R, 
D,V00211A,"Fall from ice-skates, initial encounter                     ",R, 
D,V00212A,"Ice-skater colliding with stationary object, init encntr    ",R, 
D,V00218A,"Other ice-skates accident, initial encounter                ",R, 
D,V00221A,"Fall from sled, initial encounter                           ",R, 
D,V00222A,"Sledder colliding with stationary object, initial encounter ",R, 
D,V00228A,"Other sled accident, initial encounter                      ",R, 
D,V00281A,"Fall from gliding-type pedestrian conveyance, init encntr   ",R, 
D,V00282A,"Ped on gliding-type ped convey colliding w statnry obj, init",R, 
D,V00288A,"Oth accident on gliding-type pedestrian conveyance, init    ",R, 
D,V00311A,"Fall from snowboard, initial encounter                      ",R, 
D,V00312A,"Snowboarder colliding with stationary object, init encntr   ",R, 
D,V00318A,"Other snowboard accident, initial encounter                 ",R, 
D,V00321A,"Fall from snow-skis, initial encounter                      ",R, 
D,V00322A,"Snow-skier colliding with stationary object, init encntr    ",R, 
D,V00328A,"Other snow-ski accident, initial encounter                  ",R, 
D,V00381A,"Fall from flat-bottomed pedestrian conveyance, init encntr  ",R, 
D,V00382A,"Ped on flat-bottomed ped convey collid w statnry obj, init  ",R, 
D,V00388A,"Oth accident on flat-bottomed pedestrian conveyance, init   ",R, 
D,V00811A,"Fall from moving wheelchair (powered), initial encounter    ",R, 
D,V00812A,"Wheelchair (powered) colliding w stationary object, init    ",R, 
D,V00818A,"Other accident with wheelchair (powered), initial encounter ",R, 
D,V00821A,"Fall from babystroller, initial encounter                   ",R, 
D,V00822A,"Babystroller colliding with stationary object, init encntr  ",R, 
D,V00828A,"Other accident with babystroller, initial encounter         ",R, 
D,V00831A,"Fall from motorized mobility scooter, initial encounter     ",R, 
D,V00832A,"Motorized mobility scooter colliding w statnry obj, init    ",R, 
D,V00838A,"Other accident with motorized mobility scooter, init encntr ",R, 
D,V00891A,"Fall from other pedestrian conveyance, initial encounter    ",R, 
D,V00892A,"Ped on oth pedestrian convey colliding w statnry obj, init  ",R, 
D,V00898A,"Other accident on other pedestrian conveyance, init encntr  ",R, 
D,V0100XA,"Ped on foot injured in collision w pedl cyc nontraf, init   ",R, 
D,V0101XA,"Ped on rolr-skt injured in clsn w pedl cyc nontraf, init    ",R, 
D,V0102XA,"Ped on sktbrd injured in collision w pedl cyc nontraf, init ",R, 
D,V0109XA,"Ped w convey injured in collision w pedl cyc nontraf, init  ",R, 
D,V0110XA,"Ped on foot injured in collision w pedl cyc in traf, init   ",R, 
D,V0111XA,"Ped on rolr-skt injured in clsn w pedl cyc in traf, init    ",R, 
D,V0112XA,"Ped on sktbrd injured in collision w pedl cyc in traf, init ",R, 
D,V0119XA,"Ped w convey injured in collision w pedl cyc in traf, init  ",R, 
D,V0190XA,"Ped on foot injured in collision w pedl cyc, unsp, init     ",R, 
D,V0191XA,"Ped on rolr-skt injured in collision w pedl cyc, unsp, init ",R, 
D,V0192XA,"Ped on sktbrd injured in collision w pedl cyc, unsp, init   ",R, 
D,V0199XA,"Ped w convey injured in collision w pedl cyc, unsp, init    ",R, 
D,V0200XA,"Ped on foot injured in collision w 2/3-whl mv nontraf, init ",R, 
D,V0201XA,"Ped on rolr-skt injured in clsn w 2/3-whl mv nontraf, init  ",R, 
D,V0202XA,"Ped on sktbrd injured in clsn w 2/3-whl mv nontraf, init    ",R, 
D,V0209XA,"Ped w convey injured in collision w 2/3-whl mv nontraf, init",R, 
D,V0210XA,"Ped on foot injured in collision w 2/3-whl mv in traf, init ",R, 
D,V0211XA,"Ped on rolr-skt injured in clsn w 2/3-whl mv in traf, init  ",R, 
D,V0212XA,"Ped on sktbrd injured in clsn w 2/3-whl mv in traf, init    ",R, 
D,V0219XA,"Ped w convey injured in collision w 2/3-whl mv in traf, init",R, 
D,V0290XA,"Ped on foot injured in collision w 2/3-whl mv, unsp, init   ",R, 
D,V0291XA,"Ped on rolr-skt injured in clsn w 2/3-whl mv, unsp, init    ",R, 
D,V0292XA,"Ped on sktbrd injured in collision w 2/3-whl mv, unsp, init ",R, 
D,V0299XA,"Ped w convey injured in collision w 2/3-whl mv, unsp, init  ",R, 
D,V0300XA,"Ped on foot injured pick-up truck, pk-up/van nontraf, init  ",R, 
D,V0301XA,"Ped on rolr-skt inj pick-up truck, pk-up/van nontraf, init  ",R, 
D,V0302XA,"Ped on sktbrd injured pick-up truck, pk-up/van nontraf, init",R, 
D,V0309XA,"Ped w convey injured pick-up truck, pk-up/van nontraf, init ",R, 
D,V0310XA,"Ped on foot injured pick-up truck, pk-up/van in traf, init  ",R, 
D,V0311XA,"Ped on rolr-skt inj pick-up truck, pk-up/van in traf, init  ",R, 
D,V0312XA,"Ped on sktbrd injured pick-up truck, pk-up/van in traf, init",R, 
D,V0319XA,"Ped w convey injured pick-up truck, pk-up/van in traf, init ",R, 
D,V0390XA,"Ped on foot injured pick-up truck, pk-up/van, unsp, init    ",R, 
D,V0391XA,"Ped on rolr-skt injured pick-up truck, pk-up/van, unsp, init",R, 
D,V0392XA,"Ped on sktbrd injured pick-up truck, pk-up/van, unsp, init  ",R, 
D,V0399XA,"Ped w convey injured pick-up truck, pk-up/van, unsp, init   ",R, 
D,V0400XA,"Ped on foot injured in collision w hv veh nontraf, init     ",R, 
D,V0401XA,"Ped on rolr-skt injured in collision w hv veh nontraf, init ",R, 
D,V0402XA,"Ped on sktbrd injured in collision w hv veh nontraf, init   ",R, 
